Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background,tag
"839.075,306.143","741.078,274.832","676.401,261.055","617.682,421.71","572.564,586.355","805.734,290.448","792.043,437.396","788.008,572.618","598.041,339.425","539.241,333.571","639.151,474.597","576.459,697.979","650.954,357.075","725.333,484.439","682.278,695.943","841.027,288.516","0.0,0.0","795.904,229.794","0.0,0.0","739.096,715.582","713.634,715.612","666.585,699.973","601.978,715.588","586.277,715.65","578.425,715.627",0,1
"839.064,302.19","741.051,272.818","674.464,257.153","617.688,415.873","572.583,586.194","805.712,286.499","791.98,433.478","786.093,570.65","598.026,341.365","539.302,333.563","646.952,472.617","576.465,694.015","650.947,360.967","725.346,482.483","682.267,695.93","839.096,280.67","0.0,0.0","797.835,227.728","0.0,0.0","744.916,699.924","742.98,697.987","666.582,699.962","601.988,715.587","586.281,715.648","576.48,715.617",0,1
"839.036,294.36","743.015,270.887","676.413,253.246","619.532,409.973","572.509,582.313","807.631,288.458","791.926,431.557","786.098,570.516","600.004,339.424","539.297,333.547","641.148,474.592","576.478,699.905","652.898,355.088","725.366,486.388","682.259,694.003","839.092,276.701","0.0,0.0","795.933,221.89","0.0,0.0","744.961,699.909","743.011,697.918","666.582,699.901","601.983,715.585","586.301,715.647","578.439,715.629",0,1
"839.117,292.428","744.927,272.734","678.331,249.326","617.607,411.896","570.636,580.406","807.67,290.474","791.922,431.535","786.118,570.553","598.055,337.486","539.229,331.602","641.116,474.572","574.578,699.919","650.966,355.086","725.361,488.331","682.265,694.016","841.032,274.802","0.0,0.0","797.886,221.828","0.0,0.0","743.038,698.069","741.021,697.904","666.596,699.902","601.976,715.585","588.243,715.648","576.47,715.63",0,1
"840.981,300.237","744.928,272.774","680.305,255.164","617.64,415.864","570.625,584.326","807.673,288.45","791.98,433.476","788.006,570.659","596.074,337.428","539.242,329.634","633.302,476.598","574.538,701.887","648.916,353.132","719.525,482.485","682.325,692.041","842.912,278.669","0.0,0.0","801.78,225.883","0.0,0.0","745.014,699.901","744.943,697.933","666.637,697.998","601.945,715.591","586.269,715.657","580.374,715.634",0,1
"841.036,306.184","744.977,274.757","682.254,259.105","617.632,415.852","570.644,586.281","811.595,290.425","792.017,435.406","788.043,572.636","594.112,335.516","539.212,327.686","625.474,482.466","0.0,0.0","645.073,353.117","717.574,486.356","682.311,692.047","844.858,290.423","0.0,0.0","801.805,239.478","0.0,0.0","727.369,715.604","713.648,715.593","666.647,698.006","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"840.959,315.942","744.955,276.771","680.315,266.912","615.684,417.786","570.648,586.327","811.59,290.436","793.938,431.558","789.935,572.627","596.076,335.558","537.307,327.691","631.334,476.533","601.963,601.98","648.988,353.166","715.628,484.424","682.293,692.065","841.044,298.316","0.0,0.0","803.701,245.418","0.0,0.0","727.375,715.602","713.61,715.596","666.615,698.029","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"841.044,319.815","744.978,282.583","678.366,272.833","613.69,415.894","570.635,588.172","811.57,290.466","794.012,431.555","789.93,572.618","596.072,335.53","535.365,327.694","631.346,474.603","601.946,601.97","650.901,353.111","715.604,486.361","682.292,693.982","842.913,304.086","858.619,306.111","803.694,253.182","0.0,0.0","727.364,715.605","713.604,715.599","666.609,699.894","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"842.895,319.841","744.988,284.558","680.283,272.814","613.664,415.834","572.492,588.187","813.542,294.354","793.986,433.45","789.937,572.633","598.035,337.493","537.301,331.583","633.29,474.639","582.341,701.87","650.979,355.109","717.544,486.367","682.278,694.018","844.865,304.093","860.57,306.175","803.731,255.121","0.0,0.0","725.405,715.617","711.667,715.612","666.604,699.917","603.882,715.605","0.0,0.0","588.26,715.637",0,1
"841.018,319.821","745.012,284.534","680.28,272.767","613.717,415.843","572.561,588.218","813.532,292.446","793.965,433.531","788.094,574.495","598.01,337.52","537.311,331.589","633.296,478.504","580.385,715.618","650.93,355.137","717.55,486.384","682.296,694.031","842.972,304.089","858.59,306.152","803.757,253.202","0.0,0.0","725.378,715.625","711.639,715.619","666.619,699.939","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"839.076,317.877","744.999,282.587","680.301,270.828","617.555,415.881","572.622,588.25","811.584,292.391","792.099,433.52","788.055,574.536","596.049,337.462","537.289,331.597","635.211,476.506","578.423,715.602","649.002,355.084","719.494,484.41","682.257,695.949","840.972,300.265","854.65,306.017","803.732,247.347","0.0,0.0","725.393,715.629","709.687,715.63","666.579,701.879","0.0,0.0","0.0,0.0","586.316,715.647",0,1
"839.053,315.898","744.948,280.637","680.332,268.921","617.617,421.711","574.556,588.271","809.638,292.384","792.042,433.494","788.029,574.518","596.06,337.534","537.321,335.487","635.314,476.565","576.515,705.793","648.949,355.079","721.441,488.292","682.247,695.948","840.937,296.354","0.0,0.0","803.672,243.394","0.0,0.0","725.384,715.63","707.769,715.636","666.571,701.896","601.979,715.602","586.28,715.665","586.283,715.637",0,1
"839.031,312.003","744.937,276.753","680.333,266.923","619.508,421.73","574.601,588.225","809.658,288.536","792.021,437.353","788.028,572.653","594.111,337.466","539.225,335.466","635.328,476.614","576.517,701.876","648.913,353.144","721.451,486.358","682.261,695.912","839.089,292.453","0.0,0.0","801.77,241.51","0.0,0.0","727.343,715.611","709.729,715.619","666.585,699.966","601.942,715.605","580.397,715.665","588.205,715.632",0,1
"839.028,310.034","743.036,274.838","680.278,262.998","619.582,419.744","576.505,588.245","807.711,288.501","792.002,437.356","788.048,572.563","594.106,337.494","539.213,335.456","635.255,476.611","578.419,715.595","647.034,353.176","719.503,486.365","682.276,694.05","839.083,290.521","0.0,0.0","799.833,241.378","0.0,0.0","723.43,715.621","709.727,715.618","666.597,699.987","0.0,0.0","0.0,0.0","592.129,715.639",0,1
"839.075,308.074","743.006,274.851","678.351,263.024","619.568,423.692","576.505,588.231","807.657,288.479","791.994,435.438","788.045,572.573","596.096,339.433","539.229,335.509","635.284,476.577","574.583,697.92","648.964,355.129","719.533,488.319","682.278,695.911","840.93,290.435","0.0,0.0","795.951,239.489","0.0,0.0","725.392,715.611","711.65,715.608","666.597,699.98","601.966,715.597","584.302,715.66","586.28,715.623",0,1
"838.979,306.192","742.93,274.834","676.423,263.053","619.556,427.572","574.6,588.243","805.697,286.542","792.015,435.424","788.0,572.623","594.109,345.277","537.268,339.404","635.291,476.543","574.559,705.798","646.978,357.09","719.476,488.334","682.282,694.027","838.999,290.409","0.0,0.0","795.902,239.474","0.0,0.0","725.36,715.605","0.0,0.0","666.592,699.953","601.976,715.605","0.0,0.0","588.218,715.633",0,1
"837.122,306.222","741.024,276.752","674.438,266.95","619.517,429.522","576.455,588.3","805.697,288.447","791.968,437.376","788.018,572.62","594.131,347.29","537.28,341.375","635.296,476.538","574.554,699.931","648.965,362.918","719.512,490.296","682.284,694.024","837.12,290.437","0.0,0.0","793.94,239.455","0.0,0.0","727.363,715.595","713.605,715.593","666.595,699.934","601.952,715.601","586.291,715.665","586.309,715.628",0,1
"837.059,306.225","739.071,278.688","672.464,268.883","617.692,429.56","576.484,590.174","801.799,290.408","791.983,439.352","788.012,572.621","594.09,349.198","535.362,343.338","639.15,478.49","578.415,715.588","648.955,364.869","723.442,490.292","682.292,694.003","837.087,290.423","0.0,0.0","792.033,235.628","0.0,0.0","729.304,715.591","713.655,715.592","666.608,699.919","602.005,715.604","584.314,715.669","590.189,715.634",0,1
"837.055,306.231","735.169,276.784","670.501,266.966","617.693,429.545","576.523,590.166","801.746,288.467","791.997,437.422","788.013,572.638","590.191,349.214","535.332,345.326","643.067,476.516","578.471,701.894","646.985,364.861","725.333,490.267","682.264,694.022","837.055,290.411","852.662,294.376","791.917,233.646","0.0,0.0","727.35,715.588","711.699,715.595","666.581,699.941","601.987,715.601","578.435,715.663","586.332,715.632",0,1
"837.064,306.11","735.155,276.739","670.531,266.931","617.668,431.486","578.422,590.176","797.856,288.454","791.988,437.383","788.01,574.489","588.26,349.252","533.359,347.283","645.02,476.492","578.428,699.938","646.97,364.878","725.327,492.208","682.275,694.008","837.048,288.484","0.0,0.0","790.052,233.609","0.0,0.0","741.03,698.007","735.157,696.018","666.605,699.908","601.972,715.598","584.302,715.66","584.338,715.63",0,1
"837.036,306.052","733.215,276.714","670.503,261.079","619.63,425.638","576.512,588.326","795.92,290.405","791.942,435.464","787.999,572.651","586.312,351.165","529.478,345.328","643.057,476.571","578.439,701.873","643.106,366.875","725.33,492.195","682.292,693.987","837.007,288.393","0.0,0.0","789.973,233.614","0.0,0.0","741.01,698.017","733.221,697.87","666.621,698.042","601.927,715.6","576.477,715.66","584.338,715.631",0,1
"837.027,304.232","731.299,274.78","668.588,259.093","621.52,425.618","578.478,590.172","795.881,288.529","790.098,435.446","787.995,572.649","588.234,349.183","527.511,345.296","635.317,476.547","576.513,715.598","645.017,364.864","717.532,490.25","682.328,693.974","837.037,286.507","0.0,0.0","788.099,231.697","0.0,0.0","727.362,715.587","0.0,0.0","666.646,698.047","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"836.954,304.204","731.29,274.813","668.605,259.15","621.538,423.679","580.372,590.215","793.959,290.449","790.101,439.31","786.144,574.52","588.217,341.365","525.532,337.473","633.335,474.598","576.514,715.594","641.135,355.112","711.627,486.339","682.286,690.142","836.956,286.475","0.0,0.0","787.994,233.649","0.0,0.0","727.35,715.597","0.0,0.0","666.606,698.029","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"835.053,306.084","729.299,270.864","668.576,257.117","621.507,419.737","580.37,590.16","793.92,284.56","790.008,435.451","788.007,574.525","584.305,333.545","525.57,325.74","621.544,460.906","588.216,586.295","635.215,349.179","701.88,480.522","682.25,688.136","835.102,288.42","0.0,0.0","786.105,237.521","0.0,0.0","735.172,698.031","729.269,695.975","666.61,697.971","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"831.132,308.084","729.247,272.796","668.564,259.109","619.64,415.802","576.457,590.232","792.043,286.511","789.92,433.51","786.135,574.516","580.404,323.768","525.517,317.863","596.07,474.579","582.325,594.125","631.338,339.432","694.025,478.532","682.232,686.192","833.1,290.39","0.0,0.0","786.062,241.383","0.0,0.0","741.014,698.069","735.167,697.858","666.582,697.894","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"825.368,310.013","729.274,270.871","668.583,259.102","619.622,415.813","576.453,590.191","793.959,286.488","788.098,433.487","786.13,574.523","574.528,308.1","523.622,304.142","570.59,474.618","568.669,650.9","635.233,331.557","680.287,474.578","680.323,684.225","825.353,290.535","0.0,0.0","784.141,241.519","0.0,0.0","717.555,715.606","0.0,0.0","664.705,697.897","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"825.271,315.873","729.243,270.869","670.51,259.131","619.565,415.848","576.529,590.209","791.996,284.57","788.099,433.453","786.082,574.492","576.472,304.13","521.632,292.449","568.613,476.556","558.882,648.978","637.203,325.702","672.465,480.49","680.271,684.226","825.262,294.374","0.0,0.0","782.21,243.405","0.0,0.0","741.061,699.913","741.005,697.868","666.548,697.849","0.0,0.0","0.0,0.0","574.513,656.801",0,1
"823.318,315.928","727.381,268.923","668.595,259.149","619.649,415.844","576.51,590.168","793.94,282.598","788.101,433.494","786.082,574.524","558.875,290.465","517.725,290.429","558.835,456.969","558.82,645.046","631.335,317.896","662.692,482.433","680.277,682.286","823.336,294.391","837.052,304.099","780.281,243.497","0.0,0.0","721.477,715.608","0.0,0.0","666.584,696.008","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"823.256,315.938","727.387,270.858","668.55,261.08","621.515,415.867","576.462,588.333","793.948,282.591","788.074,435.43","786.087,574.52","552.975,288.491","513.801,290.417","649.022,476.55","680.226,682.317","621.541,313.938","658.732,472.667","680.324,682.246","823.281,296.325","0.0,0.0","780.243,245.393","0.0,0.0","0.0,0.0","0.0,0.0","662.658,695.954","731.246,698.046","711.657,715.619","666.656,697.912",0,1
"823.279,315.905","727.372,268.895","668.545,261.097","621.515,415.903","576.499,588.332","792.005,278.715","788.073,433.473","786.106,574.492","558.848,286.543","513.818,288.469","554.959,456.965","556.897,643.093","631.318,311.989","652.89,478.531","680.292,682.245","823.27,298.283","0.0,0.0","780.215,245.385","0.0,0.0","0.0,0.0","0.0,0.0","664.62,695.961","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"821.382,315.902","727.36,270.826","666.64,264.966","621.509,417.82","576.51,588.331","791.992,278.695","788.098,433.47","786.092,574.499","564.717,288.497","515.751,288.481","554.922,456.989","556.856,643.082","631.355,313.936","650.983,476.58","680.334,682.22","821.35,298.299","0.0,0.0","778.329,245.395","0.0,0.0","0.0,0.0","0.0,0.0","662.636,696.026","0.0,0.0","0.0,0.0","568.63,650.934",0,1
"821.388,311.983","729.24,270.833","668.535,261.095","619.657,419.728","576.503,588.308","793.94,276.764","788.061,433.464","786.078,574.493","568.66,290.439","517.713,288.51","554.9,460.903","556.83,641.13","633.268,313.955","650.955,480.503","680.307,682.246","821.34,294.387","0.0,0.0","778.317,245.371","0.0,0.0","0.0,0.0","0.0,0.0","664.573,695.99","0.0,0.0","0.0,0.0","560.838,649.004",0,1
"821.413,312.022","729.244,270.832","666.653,261.104","619.651,417.834","576.491,588.307","793.946,276.76","788.056,433.435","786.079,574.514","570.589,288.476","517.729,288.483","554.92,458.927","554.989,641.154","635.268,310.024","648.996,472.634","680.323,682.247","821.399,296.298","0.0,0.0","778.318,245.357","0.0,0.0","739.101,715.598","0.0,0.0","664.643,695.985","0.0,0.0","0.0,0.0","558.838,650.933",0,1
"821.374,313.994","729.242,270.861","666.635,261.103","619.599,417.771","576.531,588.308","792.007,278.678","788.045,433.443","786.06,574.519","568.659,290.424","517.711,288.496","554.87,458.943","554.965,645.029","631.327,310.035","648.938,466.773","680.31,682.232","821.327,298.314","0.0,0.0","776.422,245.381","0.0,0.0","719.518,715.613","0.0,0.0","664.633,695.953","0.0,0.0","0.0,0.0","558.868,650.961",0,1
"821.321,313.998","727.387,270.888","666.613,263.035","619.543,415.89","576.452,588.336","792.018,276.773","788.022,433.44","784.183,574.537","572.59,290.424","521.586,288.478","549.074,455.027","554.974,647.002","635.237,310.043","649.02,470.686","680.305,680.373","821.278,300.217","0.0,0.0","776.35,245.399","0.0,0.0","717.558,715.618","713.597,715.614","664.679,695.943","586.274,699.957","0.0,0.0","562.769,652.888",0,1
"821.33,313.977","729.249,270.889","666.65,261.106","619.543,415.835","576.45,588.317","793.929,278.672","788.026,433.432","784.17,574.528","574.526,290.443","521.596,288.464","549.034,456.97","554.963,647.018","635.267,312.014","649.017,470.669","680.315,682.216","819.429,300.214","0.0,0.0","776.333,245.389","0.0,0.0","715.622,715.619","713.602,715.614","664.681,695.95","586.25,699.943","0.0,0.0","562.785,652.895",0,1
"819.359,315.936","727.37,270.872","666.615,261.08","619.527,415.839","574.554,590.18","793.964,278.708","788.032,433.443","786.061,574.573","574.518,292.394","521.603,290.432","547.106,458.927","556.839,649.003","635.254,313.962","650.969,478.563","680.288,682.301","817.441,300.231","0.0,0.0","776.251,245.423","0.0,0.0","713.662,715.635","709.693,715.605","666.59,696.016","586.248,700.009","0.0,0.0","564.75,656.801",0,1
"817.453,315.95","727.307,268.913","666.561,259.152","619.539,415.829","574.55,590.169","793.945,274.821","786.138,431.587","786.073,574.544","578.433,290.492","521.601,288.497","545.14,456.992","554.987,650.967","637.244,315.928","652.872,480.516","680.293,682.301","817.406,300.278","0.0,0.0","774.35,245.408","0.0,0.0","711.666,715.633","0.0,0.0","666.637,697.874","584.286,699.987","0.0,0.0","566.667,660.702",0,1
"821.292,312.042","727.358,270.815","666.586,259.159","619.518,413.874","574.516,590.188","792.02,274.813","787.991,431.592","786.099,574.538","580.409,294.352","521.622,288.509","547.124,460.867","555.0,654.862","639.156,317.858","652.918,478.575","680.321,684.22","819.349,300.193","0.0,0.0","774.302,245.424","0.0,0.0","709.68,715.641","0.0,0.0","668.59,697.884","0.0,0.0","0.0,0.0","566.666,660.736",0,1
"821.4,310.085","727.373,270.874","666.591,263.018","617.652,415.806","574.502,590.214","792.016,274.82","786.135,433.475","786.07,574.524","582.354,292.412","523.547,286.494","545.162,458.954","556.842,650.947","637.269,317.89","652.96,476.56","680.304,682.336","819.436,298.292","0.0,0.0","774.287,247.355","0.0,0.0","711.664,715.642","0.0,0.0","668.543,697.881","0.0,0.0","0.0,0.0","570.573,660.706",0,1
"821.296,312.001","727.302,270.823","666.567,259.068","617.627,415.838","572.636,590.219","792.019,276.745","784.18,433.449","784.18,574.517","576.486,298.284","519.685,288.505","547.068,460.857","554.974,662.696","635.201,319.876","660.711,486.362","680.334,682.338","817.482,300.23","835.087,302.172","774.28,247.343","0.0,0.0","711.667,715.634","0.0,0.0","668.539,697.872","0.0,0.0","0.0,0.0","566.687,664.677",0,1
"819.439,312.041","727.281,270.816","664.681,257.169","617.618,413.907","572.623,590.233","792.031,276.756","786.063,433.439","784.127,574.597","578.429,300.267","517.733,290.469","547.094,460.85","554.963,666.582","635.281,321.794","660.723,490.271","680.346,682.339","817.479,300.25","0.0,0.0","774.261,247.337","0.0,0.0","713.641,715.633","0.0,0.0","666.687,697.88","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"819.363,312.048","727.276,270.842","666.631,259.071","617.636,417.802","572.562,594.102","791.998,278.692","784.181,433.537","782.201,574.596","576.486,304.132","517.701,292.422","554.888,470.691","554.936,645.032","633.281,323.784","662.652,492.194","680.344,682.329","815.485,300.24","0.0,0.0","772.399,245.444","0.0,0.0","711.689,715.623","0.0,0.0","666.678,697.87","584.336,650.92","584.319,654.833","570.596,652.897",0,1
"817.418,315.878","725.389,270.847","666.571,259.075","617.618,415.871","572.59,592.155","791.997,278.677","782.197,435.427","780.252,574.548","580.382,300.255","521.633,290.42","552.926,462.88","554.951,654.868","635.216,321.825","664.595,490.281","680.348,684.267","813.538,302.131","829.216,304.075","772.359,245.41","0.0,0.0","713.657,715.629","717.556,697.927","666.626,697.907","554.945,715.616","554.923,715.632","560.809,664.622",0,1
"817.427,313.984","725.4,272.75","666.57,259.118","617.591,417.789","572.61,596.043","791.989,278.727","782.191,435.47","780.201,574.543","580.378,302.191","521.606,290.455","554.919,466.773","554.914,650.96","633.324,321.848","664.607,482.422","680.354,686.174","811.614,300.267","829.218,304.04","772.36,245.409","0.0,0.0","723.423,715.61","723.428,697.975","666.618,697.928","576.513,666.615","0.0,0.0","572.55,664.617",0,1
"815.509,313.972","725.348,270.883","664.644,259.152","617.572,417.815","572.612,597.988","790.033,278.674","782.187,433.506","778.33,574.535","580.414,300.217","523.559,288.504","556.84,476.549","558.862,658.79","635.255,321.798","666.542,484.386","680.34,684.243","813.504,300.215","827.223,304.05","772.335,245.428","0.0,0.0","721.459,715.614","723.417,697.904","666.594,697.896","586.199,686.194","0.0,0.0","582.316,672.501",0,1
"819.366,310.077","725.333,272.857","662.682,261.076","617.532,419.747","572.647,596.105","790.056,284.575","782.173,433.522","780.214,574.533","578.458,304.123","521.637,292.439","560.821,478.519","554.989,650.938","635.265,321.844","672.479,480.499","680.362,684.271","817.421,298.282","833.117,302.125","772.342,243.473","0.0,0.0","717.549,715.615","719.533,696.003","666.593,697.874","572.52,664.664","0.0,0.0","564.719,662.669",0,1
"815.509,311.975","725.349,272.826","664.633,257.175","615.658,423.692","572.651,594.143","791.988,288.449","780.253,435.465","780.23,574.507","574.507,308.066","517.734,300.235","562.791,482.437","556.903,652.921","631.329,327.672","676.407,480.521","680.369,686.176","813.516,296.303","831.157,300.27","772.361,241.515","0.0,0.0","729.32,703.86","727.326,696.026","666.591,697.906","0.0,0.0","0.0,0.0","572.582,664.663",0,1
"815.458,308.153","725.353,272.793","664.613,251.265","615.668,423.677","572.571,597.994","790.057,290.476","778.318,437.369","780.239,574.512","572.611,313.938","519.636,304.129","562.772,490.258","564.701,660.721","629.398,333.573","680.249,482.428","680.331,684.286","811.587,292.413","831.138,296.364","772.33,239.55","0.0,0.0","723.408,715.601","719.505,697.923","666.566,697.895","0.0,0.0","0.0,0.0","576.471,668.553",0,1
"819.389,306.041","723.417,272.826","662.64,257.138","613.686,427.59","570.653,596.095","788.091,288.498","778.315,435.429","782.157,574.534","570.6,319.864","515.742,312.011","603.91,480.507","570.585,619.583","627.429,337.482","684.258,492.205","680.328,686.211","813.509,290.388","835.056,290.474","772.325,237.582","0.0,0.0","721.478,715.625","719.514,698.043","664.677,697.917","584.332,633.324","0.0,0.0","584.28,664.673",0,1
"817.42,304.213","721.443,274.735","658.782,257.159","611.746,427.598","570.503,594.105","789.984,290.48","778.348,439.326","782.198,574.49","570.627,329.611","517.699,319.878","574.553,492.247","572.588,670.525","625.456,345.311","694.005,494.205","680.381,690.103","813.512,288.559","0.0,0.0","772.366,231.704","0.0,0.0","727.316,715.615","727.316,698.064","664.676,697.98","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"811.62,304.171","717.563,274.733","656.829,259.118","611.753,429.516","566.667,590.223","786.132,288.518","778.334,439.34","784.112,574.571","576.5,339.407","521.599,335.476","617.546,482.44","0.0,0.0","629.357,353.106","696.043,494.232","680.399,690.091","811.563,288.486","0.0,0.0","770.451,229.686","0.0,0.0","727.348,715.605","727.304,697.991","664.678,697.99","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"809.611,300.26","719.523,274.822","654.883,261.044","607.817,431.526","562.784,590.2","786.13,288.521","780.206,439.33","784.15,574.55","576.488,349.187","515.768,339.472","619.587,466.781","570.596,715.591","631.352,360.992","705.788,492.231","682.259,692.032","807.712,282.594","825.26,288.389","770.431,227.72","0.0,0.0","727.365,715.602","729.254,698.016","666.577,698.029","0.0,0.0","0.0,0.0","584.343,715.629",0,1
"809.622,296.327","719.521,282.599","654.825,270.864","605.891,433.474","562.785,590.233","788.018,292.416","778.332,441.299","784.161,574.506","582.341,351.234","523.573,345.324","619.638,478.551","570.57,715.59","635.263,366.804","711.65,494.153","682.245,693.999","807.699,278.705","825.259,282.64","768.491,225.885","0.0,0.0","727.37,715.598","729.286,698.001","666.548,699.914","0.0,0.0","0.0,0.0","586.164,715.629",0,1
"807.59,296.332","717.555,282.612","652.88,270.878","603.997,429.534","566.664,590.184","786.114,290.412","780.211,439.365","784.149,574.516","580.411,362.956","523.569,355.099","631.269,480.462","570.629,715.595","635.256,376.626","717.516,492.202","682.252,694.048","805.722,276.783","823.307,284.517","766.554,223.868","0.0,0.0","727.371,715.597","729.285,698.041","666.553,699.932","0.0,0.0","0.0,0.0","586.168,715.639",0,1
"805.768,292.473","719.531,284.54","652.885,272.807","603.89,431.52","566.661,590.249","786.094,290.46","780.281,439.359","784.15,574.562","578.461,366.863","523.603,360.984","639.178,480.497","570.632,715.589","635.283,380.533","727.263,494.164","682.206,695.958","805.665,274.826","823.363,278.754","764.594,223.786","0.0,0.0","727.355,715.589","0.0,0.0","666.556,701.898","0.0,0.0","0.0,0.0","584.275,715.641",0,1
"809.607,290.453","721.453,284.557","652.883,270.829","601.956,437.399","566.675,590.264","786.079,298.295","782.161,441.285","784.18,574.533","582.334,370.766","525.529,364.922","645.075,486.378","570.614,715.605","639.191,382.501","727.354,496.159","682.23,695.964","805.745,274.715","827.282,274.851","764.592,221.879","0.0,0.0","727.377,715.589","0.0,0.0","666.593,701.877","0.0,0.0","0.0,0.0","0.0,0.0",0,1
